category,term,coef,se,t,p,ci_lo,ci_hi,n,n_clusters,r2,q
help,intercept,-0.01977469984425501,0.026646957406614182,-0.7420997280292356,0.45802691461063494,-0.07200177665879165,0.032452376970281624,8826,224,0.0018807225157106977,
help,I_denial,0.0848257776504355,0.07815806906815281,1.0853105592522831,0.27778413072844277,-0.06836122282433804,0.23801277812520905,8826,224,0.0018807225157106977,0.42851970554232643
help,I_hedging,-0.04065244877376388,0.026252692573810098,-1.5485058783767993,0.12150054753448361,-0.0921067807156338,0.010801883168106048,8826,224,0.0018807225157106977,0.21396999079081627
help,I_denial:I_hedging,-0.033449887442314724,0.08086332396471946,-0.4136595653291331,0.6791234435709457,-0.19193909008335952,0.12503931519873007,8826,224,0.0018807225157106977,0.8254264466186968
office,intercept,-0.0857021007853898,0.021744664487466918,-3.9412933151848053,8.104345048857676e-05,-0.12832086003673207,-0.043083341534047526,8826,224,0.009036531022923677,
office,I_denial,0.20856919303227975,0.06530998910061364,3.193526685649379,0.0014054634680308355,0.08056396656437353,0.33657441950018596,8826,224,0.009036531022923677,0.008740225941816757
office,I_hedging,0.048744768240688054,0.030946835803498052,1.5751131569702588,0.11523032764203751,-0.011909915369642796,0.1093994518510189,8826,224,0.009036531022923677,0.20677148637385454
office,I_denial:I_hedging,-0.07135736007922455,0.0731575922119648,-0.9753924086576783,0.32936564780753586,-0.2147436060103435,0.0720288858518944,8826,224,0.009036531022923677,0.60131893498807
dance,intercept,0.09387908258348776,0.03823099895263064,2.4555749301713714,0.01406594254747438,0.018947701543343173,0.16881046362363233,8826,224,0.00927739810556849,
dance,I_denial,-0.1667937709226354,0.04289599524251619,-3.888329667598397,0.00010093646838067074,-0.2508683766789686,-0.08271916516630216,8826,224,0.00927739810556849,0.0011815504239854988
dance,I_hedging,-0.1293989128403317,0.04467974297134303,-2.8961427312445904,0.003777805319097009,-0.21696959990267067,-0.041828225777992736,8826,224,0.00927739810556849,0.016328916957801427
dance,I_denial:I_hedging,0.02457523995660211,0.05257981288307062,0.46738926232494676,0.6402214035128527,-0.07847929960807146,0.12762977952127566,8826,224,0.00927739810556849,0.8254264466186968
money,intercept,-0.009747399193423593,0.022845546808497007,-0.42666517352949573,0.6696232203057617,-0.054523848145201705,0.03502904975835452,8826,224,0.0013539311175357893,
money,I_denial,-0.003811244352878356,0.032050876791334816,-0.11891232735039414,0.9053448152472706,-0.06662980853682529,0.05900731983106858,8826,224,0.0013539311175357893,0.9383521783031608
money,I_hedging,-0.011903952097555535,0.03476966350320928,-0.3423660426410738,0.732075440126486,-0.08005124031842248,0.056243336123311415,8826,224,0.0013539311175357893,0.8161975351365731
money,I_denial:I_hedging,0.13057202981157737,0.049679848759794136,2.628269470845274,0.008582050210286157,0.03320131548498399,0.22794274413817073,8826,224,0.0013539311175357893,0.17078279918469452
wedding,intercept,-0.028180010813743505,0.024679766081182754,-1.1418264954800172,0.25352614674773377,-0.07655146347973493,0.02019144185224792,8826,224,0.0009401138584040902,
wedding,I_denial,0.036380509467402754,0.0408457062508889,0.8906813667008395,0.37310013388988894,-0.04367560370744205,0.11643662264224755,8826,224,0.0009401138584040902,0.5265739478304107
wedding,I_hedging,0.06295733512209509,0.047598585655871516,1.3226723915131497,0.18594434864780096,-0.030334178478457915,0.1562488487226481,8826,224,0.0009401138584040902,0.2913576988019771
wedding,I_denial:I_hedging,-0.01167711311631078,0.059255963697392874,-0.1970622429827185,0.8437788297565274,-0.12781666783241372,0.10446244159979215,8826,224,0.0009401138584040902,0.9095166837173003
domestic_work,intercept,-0.030255881377828878,0.029591514335896633,-1.0224512687789797,0.3065673657524026,-0.08825418372418697,0.02774242096852922,8826,224,0.0014930889284174853,
domestic_work,I_denial,0.08781417262566521,0.040433863204405965,2.171797737498809,0.029870922423155578,0.008565256989210221,0.16706308826212019,8826,224,0.0014930889284174853,0.08255991058622167
domestic_work,I_hedging,0.003579956940174117,0.042782722728024844,0.08367763227535456,0.9333127416201631,-0.08027263876731779,0.08743255264766601,8826,224,0.0014930889284174853,0.9623276455047277
domestic_work,I_denial:I_hedging,-0.04610948178246296,0.05461183095836754,-0.8443130540269524,0.39849449337320686,-0.15314670359065288,0.060927740025726956,8826,224,0.0014930889284174853,0.6531439595619416
sleep,intercept,0.018778670797930077,0.029133683476185227,0.6445690540051464,0.5192064944816838,-0.03832229955238266,0.0758796411482428,8826,224,0.0014502674099237112,
sleep,I_denial,6.450018124933151e-05,0.040137520716703096,0.001606979706210154,0.9987178162547399,-0.07860359485221903,0.07873259521471769,8826,224,0.0014502674099237112,0.9987178162547399
sleep,I_hedging,-0.11161271141775368,0.03901608965309148,-2.86068420516124,0.0042272789628917794,-0.18808284195539882,-0.035142580880108534,8826,224,0.0014502674099237112,0.01722406479425912
sleep,I_denial:I_hedging,0.07534936209903964,0.05473156478137614,1.3767076165284287,0.16860266297206572,-0.03192253368997844,0.18262125788805772,8826,224,0.0014502674099237112,0.40916987721269604
medical_emergency,intercept,-0.019899197002087116,0.019430602455389467,-1.0241163158874507,0.30578033880510525,-0.057982478012566015,0.018184084008391783,8826,224,0.0022904368880084514,
medical_emergency,I_denial,0.07768250183209909,0.03336701298564936,2.3281227440259378,0.019905586923427053,0.012284358108546042,0.14308064555565214,8826,224,0.0022904368880084514,0.06638354336585443
