category,coef_I_denial,coef_I_denial:I_hedging,coef_I_hedging,p_I_denial,p_I_denial:I_hedging,p_I_hedging,q_I_denial,q_I_denial:I_hedging,q_I_hedging
achievement,-0.06728863400645839,0.03725493302602424,-0.08580184515578626,0.12298826301622803,0.4571247549066074,0.006659553351420474,0.23395405377310458,0.7194190374876438,0.023336624957141335
affection,-0.1126908668219796,-0.06526089355027846,0.04816539271693563,0.0016988725985506263,0.19433872140672714,0.19033417509676898,0.009943401385634548,0.4324042966012934,0.2913576988019771
aggression,-0.055284014985019614,0.10572822322595345,-0.09453613160699124,0.13475935288261276,0.061141724282354454,0.023282941813446454,0.2506272076975695,0.2896953126711556,0.05791631776094805
air_travel,-0.002054757600672326,0.10342956455449052,-0.09782126688014679,0.965188147222971,0.06978140600270445,0.012840481588843268,0.9749870116617829,0.2971693179479986,0.03931162824892016
alcohol,-0.07610521882487159,-0.01314215125674548,-0.07457640261831218,0.02205782025697261,0.8070814741998951,0.10575312197441686,0.0696747020815484,0.9095166837173003,0.20023780136993574
ancient,-0.014239739008981357,0.12792773843197808,-0.1546284577440219,0.6908136056075633,0.05604088181032725,0.00012430162224436164,0.7637328195328061,0.2788033870063781,0.0009894409130651188
anger,-0.11904472240170774,0.13439958626780274,-0.04557511361238104,0.0009465325670206963,0.01791116816566396,0.2753619556043563,0.006808299859977585,0.25041822246503714,0.3942232314047978
animal,-0.11183360156439029,0.11499985963793924,-0.14180016360092979,0.014912450503839846,0.03527197191798255,0.0018109384275245442,0.052782390218400796,0.2506829432742331,0.009739912083172549
anonymity,-0.02421403167534399,0.05159908262161378,-0.06271533107871632,0.5129346811913568,0.21764051086936653,0.017081341336847675,0.624151777851169,0.4607495921596164,0.04721092952823176
anticipation,-0.15354122093091296,-0.04629658866745313,0.0058519315285048955,5.465789237327384e-06,0.39456826774901443,0.9009854556514194,0.00021514143636574244,0.6531439595619416,0.9387230663593322
appearance,0.03356553531710451,0.05106109720189735,0.01189658895453683,0.33906230113064884,0.3153543224023201,0.7228953223505152,0.488937666123182,0.5959042919624598,0.8127467183488843
art,-0.20060417349713794,0.03617984096963854,-0.1081437614241214,7.238350026267905e-06,0.5319421067715986,0.029427324395085518,0.00021514143636574244,0.7561177089110579,0.06971473279311927
attractive,-0.13017494610827404,0.06126456956514887,-0.07465354921029155,0.002235733997960406,0.24512789176859318,0.05349147915976419,0.011708185936687389,0.5081296923119796,0.11324259949779866
banking,-0.02444569568240455,0.0813221513196805,-0.003460007961406566,0.4128252042237135,0.08046605026110351,0.9136174160599825,0.5539009767953487,0.3079373846530692,0.946926384353836
beach,0.08378219256961612,-0.02230269499521018,-0.1272846557221901,0.07292697534416549,0.6776940812230672,0.0007238362180878904,0.15947767135702126,0.8254264466186968,0.004646561529015812
beauty,-0.2213249958281578,0.08736077809563506,-0.2252284424791811,6.999438313924834e-05,0.17618464051391836,1.531997006748511e-05,0.0009285921496473613,0.41469793783240483,0.0002345133879561182
blue_collar_job,0.009392010579011198,0.12736843150205363,-0.040480853676233525,0.7141475909024255,0.031194187238726936,0.18954867422932753,0.7851677933126114,0.25041822246503714,0.2913576988019771
body,0.06256157975417408,-0.09344460825151427,0.04997512750670275,0.08709310801727989,0.09658888647131693,0.2845672879680382,0.18053675516081977,0.33139980013434606,0.4044920736117114
breaking,0.09653844252785258,-0.04697681086385295,-0.14092880290889798,0.02794679286751679,0.34208660071066543,1.890402093545453e-06,0.08173373983913737,0.6078145851912716,3.7619001661554514e-05
business,0.050206221584614935,0.028165815059692394,0.05206219076422468,0.17787625791787776,0.5953084028280418,0.21477210978762662,0.3025416694500656,0.7988159261846325,0.3237015404165512
car,0.10013087441758123,0.04051194644172203,-0.09253562254415829,0.001243953855625997,0.38536308979527834,0.0019144603460484804,0.008251560575652447,0.6531439595619416,0.010025726549043358
celebration,-0.15840244556603153,0.08753343356661901,-0.0815085722143623,4.768498004435455e-05,0.05842169140909633,0.03594957581425195,0.0008235227588177014,0.28355894122951636,0.0822294895061625
cheerfulness,-0.07999377992310522,-0.015282615087690259,-0.06061169801236336,0.06790659777391594,0.7539347945428835,0.09260997289955494,0.15356151087510536,0.8825472006707871,0.17892606414574208
childish,-0.13376941240763318,0.05943469514035788,-0.10960164942514915,0.020015138703272692,0.3364533945375393,0.021194093055810558,0.06638354336585443,0.6031912208375705,0.05407210920649104
children,-0.056529834095781724,0.10173693533255004,0.07825916165084564,0.3248329600047608,0.1169456714419075,0.11291570343526167,0.48240118687274175,0.3636279471396811,0.20614885306070707
cleaning,0.10918640353263047,-0.07545821932943406,-0.09459101690248789,0.0059068025776509575,0.14680428645297286,0.019399970067762604,0.02500965346707533,0.38993522785131307,0.05079729004585208
clothing,-0.1032420036545529,0.06593786978884286,-0.21986310134240078,0.045056010456626855,0.2691829051106367,3.796328928676682e-05,0.11349552001099676,0.5356739811701671,0.0004197052537814776
cold,0.13360859015975685,-0.19803012087758734,-0.0705703885581522,0.006694317683362352,0.00122781492038494,0.08239931333984553,0.02718712691814506,0.08133442433346645,0.16235112232306198
college,0.047339290780655095,0.11115976162477485,-0.0004797157985349708,0.2803394602693805,0.11434324567974796,0.9906456305555792,0.4291350199508209,0.3611794585757118,0.9955885143903714
communication,0.09850033417440157,-0.10774250521391054,0.3213564034196998,0.009692055792898073,0.12807653963433716,1.4405609814589072e-08,0.035717020421976234,0.38049254061281074,9.555721177010752e-07
competing,-0.0715210994865016,0.03632982542609702,0.017106326596818114,0.030583232888427004,0.49406340429325124,0.672221738541273,0.08337073075064348,0.7490458895696468,0.7688053216650191
computer,0.03904521191189871,-0.02212537426211692,-0.0695271949286832,0.24882208946112327,0.6463661347961405,0.06110463015896564,0.39298091906955185,0.8254264466186968,0.12535898352200167
confinement,0.03360276607832679,0.02132668242218537,-0.11699464139321182,0.41294262499406187,0.6802509409319913,0.00128313195657851,0.5539009767953487,0.8254264466186968,0.007737674526034045
confusion,0.02619778587313036,-0.1757794888896671,0.38739073286657477,0.5463812138477847,0.04851832494195842,1.2583394557378582e-05,0.6472015568792212,0.26102207486465734,0.00021310301098386553
