outcome,term,coef,se,t,p,ci_lo,ci_hi,n,n_clusters,r2
warmth,intercept,1.9035939480294006,0.1258273036161351,15.12862386240707,1.0486539298445415e-51,1.6569769646699894,2.150210931388812,1914,109,0.19436652569557966
warmth,I_denial,-0.48180708231761654,0.11738242098722745,-4.104593160248779,4.050270320959092e-05,-0.711872399870701,-0.25174176476453214,1914,109,0.19436652569557966
warmth,I_hedging,-0.30202387212642046,0.1390467596462405,-2.172102916276672,0.02984790106702893,-0.5745505132000492,-0.029497231052791728,1914,109,0.19436652569557966
warmth,I_denial:I_hedging,0.2224369174534482,0.13767244204717694,1.6156967519848642,0.10615989358226954,-0.04739611062269636,0.4922699455295928,1914,109,0.19436652569557966
valence,intercept,1.8503085071061967,0.14443728275373446,12.81046328087584,1.4327657621944948e-37,1.5672166348840488,2.1334003793283447,1914,109,0.1494305545592599
valence,I_denial,-0.5407749218626513,0.13221372516077007,-4.090157214805622,4.3108088606545686e-05,-0.7999090614396378,-0.2816407822856648,1914,109,0.1494305545592599
valence,I_hedging,-0.36823432204308437,0.1728798108618593,-2.1300018793826903,0.033171458207450676,-0.707072524986425,-0.02939611909974371,1914,109,0.1494305545592599
valence,I_denial:I_hedging,0.33710055182965465,0.17321778959505077,1.9461081486937897,0.05164174996671992,-0.0024000772582817853,0.6766011809175911,1914,109,0.1494305545592599
threat,intercept,0.19772901778514898,0.0533144935693166,3.708729175642876,0.00020830207691098425,0.09323453053529614,0.30222350503500184,1914,109,0.07971018613094838
threat,I_denial,0.05189311113983965,0.045651383406088604,1.1367259274100898,0.2556528770844494,-0.03758195618052348,0.14136817846020278,1914,109,0.07971018613094838
threat,I_hedging,0.0610275289918287,0.0525313625341808,1.1617351244624516,0.24534307353350937,-0.04193204963398242,0.16398710761763982,1914,109,0.07971018613094838
threat,I_denial:I_hedging,-0.08894245948339424,0.06701051721215602,-1.32729104599807,0.18441242463963692,-0.22028065980462144,0.04239574083783296,1914,109,0.07971018613094838
isolation,intercept,0.3387414307629204,0.06770091724518854,5.003498394801949,5.629913509680994e-07,0.20605007124202424,0.47143279028381657,1914,109,0.016666939405007075
isolation,I_denial,-0.0853677976783976,0.06441944639160062,-1.3251867636280765,0.18510921440834638,-0.21162759250994356,0.040891997153148354,1914,109,0.016666939405007075
isolation,I_hedging,0.015533408614797148,0.0625365697767973,0.24838920123438638,0.8038332879987636,-0.1070360158644016,0.1381028330939959,1914,109,0.016666939405007075
isolation,I_denial:I_hedging,-0.012072160193992239,0.07200656088382061,-0.167653614418138,0.8668557898871599,-0.15320242617687127,0.1290581057888868,1914,109,0.016666939405007075
decay,intercept,0.13728132829602033,0.03642561793460519,3.7688126126640076,0.00016402596521283456,0.06588842902957788,0.2086742275624628,1914,109,0.013382449465066393
decay,I_denial,0.001515160873398805,0.04419921912129427,0.03428026339652756,0.9726536631467628,-0.08511371674913207,0.08814403849592967,1914,109,0.013382449465066393
decay,I_hedging,0.04021583578400717,0.055552491550608006,0.7239249700865491,0.4691117992084852,-0.06866504690665018,0.14909671847466452,1914,109,0.013382449465066393
decay,I_denial:I_hedging,-0.09018567331734363,0.06618500001732334,-1.3626301018922462,0.17299911697024073,-0.21990588966808022,0.039534543033392974,1914,109,0.013382449465066393
confinement,intercept,0.1251082352898652,0.038826487262188146,3.222239355443933,0.0012719283135206828,0.04900971860977327,0.20120675196995713,1914,109,0.03935920447276442
confinement,I_denial,-0.011224182167879048,0.03795952472744393,-0.29568816386587166,0.7674682370867917,-0.08562348350392676,0.06317511916816868,1914,109,0.03935920447276442
confinement,I_hedging,0.029579251330430906,0.043996943919061386,0.6723024077500958,0.5013911972547741,-0.05665317418075795,0.11581167684161976,1914,109,0.03935920447276442
confinement,I_denial:I_hedging,-0.04201836613730828,0.04802124129482592,-0.8749954187843031,0.38157639839527524,-0.13613826956807468,0.05210153729345812,1914,109,0.03935920447276442
animacy,intercept,2.334456863863415,0.0972845056528997,23.99618364914653,3.0479724697325937e-127,2.143782736529948,2.525130991196882,1914,109,0.17505034052665236
animacy,I_denial,-0.34192200654995336,0.10526724873217928,-3.2481328301822594,0.0011616502717467115,-0.5482420228166445,-0.1356019902832623,1914,109,0.17505034052665236
animacy,I_hedging,0.042420109637770265,0.1039356465603496,0.40813821861529753,0.6831722026839344,-0.1612900143303993,0.24613023360593983,1914,109,0.17505034052665236
animacy,I_denial:I_hedging,-0.030453206095474396,0.11280030526128525,-0.26997450073325635,0.787179870903063,-0.25153774185271743,0.19063132966176866,1914,109,0.17505034052665236
content,intercept,0.7988600121339547,0.16113770557238752,4.957623104389337,7.136082599353828e-07,0.48303591266065604,1.1146841116072534,1914,109,0.02337612354589136
