theme,term,coef,se,z,p,ci_lo,ci_hi,odds_ratio,n,n_clusters,pseudo_r2
ai_interiority,intercept,-1.3161721840357559,0.09620992095964598,-13.680212715150317,1.3330217173718038e-42,-1.5047401640721072,-1.1276042039994045,0.2681598062954081,8815,224,0.010109038847934793
ai_interiority,I_denial,-0.037364905814675026,0.12676179080084324,-0.29476473611341936,0.7681736066374416,-0.2858134504001285,0.21108363877077846,0.9633245484757496,8815,224,0.010109038847934793
ai_interiority,I_hedging,0.6673080134094838,0.15064950774963617,4.429539952553183,9.44343180888605e-06,0.3720404039315091,0.9625756228874585,1.94898361459991,8815,224,0.010109038847934793
ai_interiority,I_denial:I_hedging,-0.4207866230235439,0.1818782827932489,-2.3135616664133303,0.020691778467107815,-0.7772615068683029,-0.06431173917878502,0.6565301748880819,8815,224,0.010109038847934793
libraries_archives,intercept,-1.2821541018673033,0.08483712575744524,-15.113125184521971,1.3269421282767733e-51,-1.4484318129037912,-1.1158763908308154,0.27743902439024126,8815,224,0.007757117267229163
libraries_archives,I_denial,0.32308670243163906,0.13323110511045014,2.4250095513641234,0.01530798400160206,0.06195853479468644,0.5842148700685916,1.3813851151621435,8815,224,0.007757117267229163
libraries_archives,I_hedging,-0.22192329490897986,0.1576290037059818,-1.4078836362051954,0.1591655293306513,-0.5308704650916348,0.08702387527367514,0.8009768009768014,8815,224,0.007757117267229163
libraries_archives,I_denial:I_hedging,0.36247894067592196,0.22632842150427876,1.601561740530538,0.10925255691637857,-0.08111661415026511,0.8060744955021091,1.4368869607993249,8815,224,0.007757117267229163
cozy_sensory,intercept,-0.7165085304731644,0.11673928137878936,-6.137681524252971,8.373451480103164e-10,-0.945313317556679,-0.4877037433896499,0.4884547069271537,8815,224,0.006999022680728495
cozy_sensory,I_denial,-0.12926232064614085,0.15264769100852396,-0.8468016764100463,0.39710567368334027,-0.42844629734604645,0.16992165605376475,0.8787434227663877,8815,224,0.006999022680728495
cozy_sensory,I_hedging,-0.43840811686357783,0.14892740058042062,-2.9437706906516374,0.0032424013914570823,-0.7303004583123718,-0.1465157754147839,0.6450624682580279,8815,224,0.006999022680728495
cozy_sensory,I_denial:I_hedging,-0.036581351757934574,0.19408407773082959,-0.18848198258008753,0.8504988382139463,-0.41697915408303293,0.34381645056716376,0.9640796611308237,8815,224,0.006999022680728495
speculative_worlds,intercept,-0.45042323353879066,0.08866444740094817,-5.080088431634142,3.7725921287522896e-07,-0.6242023571537951,-0.27664410992378624,0.6373583431027645,8815,224,0.0068446538861022255
speculative_worlds,I_denial,-0.1578821044327905,0.1233029435566006,-1.280440676262662,0.2003901960393697,-0.39955143299150275,0.0837872241259218,0.8539504530070566,8815,224,0.0068446538861022255
speculative_worlds,I_hedging,-0.6312681776409852,0.12368096586058615,-5.104004268147082,3.325407675580945e-07,-0.873678416300862,-0.3888579389811084,0.5319168080890159,8815,224,0.0068446538861022255
speculative_worlds,I_denial:I_hedging,0.7387982277000787,0.19610616367202968,3.7673381288293104,0.00016499745658427005,0.35443720975658344,1.1231592456435742,2.093418190178912,8815,224,0.0068446538861022255
language_meaning,intercept,-0.6713878059250981,0.09656328497080424,-6.952826906500655,3.5803789808603084e-12,-0.8606483666967523,-0.48212724515344385,0.5109989181391992,8815,224,0.01729561977735916
language_meaning,I_denial,0.4002929611058941,0.13077873029662485,3.060841470153231,0.0022071592254400254,0.14397135978063214,0.656614562431156,1.492261808279573,8815,224,0.01729561977735916
language_meaning,I_hedging,0.8092437756775209,0.14125228085062255,5.7290669630553746,1.009845284762579e-08,0.532394392476164,1.0860931588788778,2.2462087065817022,8815,224,0.01729561977735916
language_meaning,I_denial:I_hedging,-0.5129903712221602,0.18185833898789983,-2.8208240220223977,0.004790047163489678,-0.8694261659267202,-0.15655457651760019,0.5987025563518826,8815,224,0.01729561977735916
nonhuman_personified,intercept,-0.40844929414849107,0.07781103203862293,-5.249246584285758,1.5272253319767206e-07,-0.5609561145440842,-0.2559424737528979,0.6646801748112838,8815,224,0.010322969920138814
nonhuman_personified,I_denial,-0.4641809513762344,0.11483609730959032,-4.042117089061587,5.29707687904287e-05,-0.6892555662281684,-0.23910633652430036,0.6286497891298991,8815,224,0.010322969920138814
nonhuman_personified,I_hedging,-0.3556496223837406,0.1309638124496279,-2.71563278230414,0.0066149244342831245,-0.6123339780630697,-0.09896526670441153,0.7007180931637839,8815,224,0.010322969920138814
nonhuman_personified,I_denial:I_hedging,0.18753496156090524,0.16540584194279703,1.1337868080001745,0.2568839859219031,-0.1366545314795016,0.5117244546013121,1.2062724218505143,8815,224,0.010322969920138814
surreal_absurd,intercept,-0.30985407462927234,0.0937194638428043,-3.3061870173413572,0.0009457494146745616,-0.4935408484115726,-0.12616730084697209,0.7335539925527534,8815,224,0.004698984592341637
surreal_absurd,I_denial,-0.08326313756156241,0.12312112381498895,-0.6762701231242809,0.49886915810099,-0.3245761059750375,0.15804983085191265,0.9201090001238594,8815,224,0.004698984592341637
surreal_absurd,I_hedging,-0.1339952764872106,0.14067114677707887,-0.9525427179430939,0.3408218121752242,-0.4097056578342329,0.1417151048598117,0.8745941957504464,8815,224,0.004698984592341637
surreal_absurd,I_denial:I_hedging,-0.3462781716329367,0.1609196745357217,-2.1518696991651463,0.03140761836549693,-0.6616749381268585,-0.03088140513901494,0.7073157045735683,8815,224,0.004698984592341637
cosmic_deeptime,intercept,-0.9199690506845707,0.09385384173343139,-9.802145907862942,1.1021879370131417e-22,-1.1039192002928184,-0.736018901076323,0.398531375166886,8815,224,0.0031902307456933565
cosmic_deeptime,I_denial,0.01627470649609957,0.12531686797624264,0.12986844276370602,0.8966705118299971,-0.22934184139269684,0.26189125438489597,1.0164078609007543,8815,224,0.0031902307456933565
cosmic_deeptime,I_hedging,-0.4161055534562911,0.1435933268739516,-2.8978056467871576,0.003757833794978561,-0.6975433025495237,-0.13466780436305847,0.6596106426265875,8815,224,0.0031902307456933565
cosmic_deeptime,I_denial:I_hedging,0.27905499129719774,0.19360690313651924,1.4413483547145318,0.14948629286562976,-0.10040756600871481,0.6585175486031103,1.3218800337686616,8815,224,0.0031902307456933565
form_constraint,intercept,-2.456044986160564,0.1256834820579337,-19.541509719061192,4.871967372441494e-85,-2.7023800844457004,-2.209709887875428,0.08577351645503944,8815,224,0.009019173541130132
form_constraint,I_denial,0.5754240006547198,0.18598415454680417,3.093940997591332,0.001975167631102102,0.21090175604785227,0.9399462452615872,1.777884191186754,8815,224,0.009019173541130132
form_constraint,I_hedging,0.09015976228009501,0.17322434453210908,0.5204797427499163,0.6027292432979456,-0.2493537142483966,0.42967323880858665,1.0943491054481846,8815,224,0.009019173541130132
form_constraint,I_denial:I_hedging,-0.4713018752480417,0.22942522219374903,-2.0542722841956254,0.03994934568613393,-0.9209670478928893,-0.021636702603194113,0.6241891227215418,8815,224,0.009019173541130132
time_memory_loss,intercept,-0.4988783540524717,0.07922524588886647,-6.296961889550653,3.0353586825061064e-10,-0.65415698266098,-0.34359972544396344,0.6072113540468079,8815,224,0.0212769965514904
time_memory_loss,I_denial,0.40418054413868776,0.1111227979645807,3.6372423259853153,0.00027557264746235524,0.18638386226678877,0.6219772260105867,1.4980743910944827,8815,224,0.0212769965514904
time_memory_loss,I_hedging,0.5753812350208822,0.10620078081478017,5.417862567549083,6.031574956247608e-08,0.36723152949388077,0.7835309405478836,1.7778081604681908,8815,224,0.0212769965514904
time_memory_loss,I_denial:I_hedging,0.0966830868985587,0.15198025911718543,0.6361555603350467,0.5246750350342345,-0.20119274733218995,0.39455892112930735,1.1015112349588814,8815,224,0.0212769965514904
