block,variable,denial,hedging,den x hed
"Survey (0–10; n=7,688)",phenomenological trust,-3.62***,-0.97***,+1.28***
"Survey (0–10; n=7,688)",affective temperature,-3.18***,-0.15,+1.68***
"Survey (0–10; n=7,688)",agency,-2.72***,-0.27*,+1.29***
"Survey (0–10; n=7,688)",recognition resonance,-2.46***,-0.50***,+1.39***
"Survey (0–10; n=7,688)",friction,-0.52***,+0.27*,-0.20
"Themes (log-odds; n=8,815)",ai interiority,-0.04,+0.67***,-0.42*
"Themes (log-odds; n=8,815)",cozy sensory,-0.13,-0.44**,-0.04
"Themes (log-odds; n=8,815)",time memory loss,+0.40***,+0.58***,+0.10
"Empath (SD; n=8,826)",confusion,+0.026,+0.387***,-0.176*
"Empath (SD; n=8,826)",warmth,-0.023,-0.277***,-0.002
"Empath (SD; n=8,826)",office,+0.209**,+0.049,-0.071
"Empath (SD; n=8,826)",beauty,-0.221***,-0.225***,+0.087
"Empath (SD; n=8,826)",smell,-0.181***,-0.275***,+0.080
"Inkblot (0–3; n=1,914)",warmth,-0.48***,-0.30*,+0.22
"Inkblot (0–3; n=1,914)",valence,-0.54***,-0.37*,+0.34
"Inkblot (0–3; n=1,914)",threat,+0.05,+0.06,-0.09
